275,38.247722780,114.349132838,
318,38.247738754,114.348911293,
74,38.247699883,114.348652930,
641,38.247771225,114.348595009,
113,38.247737424,114.348752496,
951,38.247681719,114.348701965,
258,38.247722358,114.348971761,
59,38.247694515,114.348640338,
708,38.247789086,114.348647644,
100,38.247730611,114.348619947,
51,38.247689130,114.348633458,
927,38.247694376,114.348687175,
424,38.247722967,114.349070008,
250,38.247722586,114.348895223,
802,38.247718950,114.348602756,
834,38.247657647,114.348617314,
817,38.247694606,114.348609494,
36,38.247677354,114.348655107,
939,38.247688046,114.348695141,
452,38.247729776,114.349203699,
83,38.247709772,114.348659831,
564,38.247783940,114.348863529,
384,38.247738166,114.349108922,
408,38.247730000,114.349128303,
855,38.247663905,114.348633337,
726,38.247801654,114.348662555,
585,38.247767755,114.348853170,
314,38.247738873,114.348871310,
394,38.247730405,114.348992362,
922,38.247657463,114.348679002,
831,38.247675664,114.348617400,
900,38.247657508,114.348664151,
12,38.247677422,114.348632259,
330,38.247730972,114.348801587,
201,38.247729623,114.348952375,
474,38.247778031,114.348729842,
655,38.247745977,114.348602885,
621,38.247742446,114.348881609,
701,38.247771089,114.348640704,
728,38.247789042,114.348662495,
381,38.247738251,114.349080363,
635,38.247746024,114.348586892,
720,38.247777351,114.348655584,
772,38.247740551,114.348609713,
439,38.247722692,114.349162540,
535,38.247766993,114.348806329,
33,38.247664742,114.348655046,
938,38.247694352,114.348695171,
926,38.247700682,114.348687205,
313,38.247738903,114.348861029,
652,38.247763994,114.348602971,
543,38.247750778,114.348806252,
190,38.247729932,114.348848420,
647,38.247795525,114.348603122,
210,38.247730269,114.349038057,
916,38.247694399,114.348679178,
492,38.247763570,114.348745767,
134,38.247737169,114.348838173,
95,38.247737621,114.348686239,
598,38.247760490,114.348872556,
212,38.247730215,114.349056335,
719,38.247782756,114.348655610,
944,38.247657416,114.348694995,
628,38.247789266,114.348587098,
94,38.247737648,114.348677100,
685,38.247745912,114.348624590,
483,38.247770801,114.348737804,
133,38.247737197,114.348829034,
109,38.247737536,114.348714798,
919,38.247675481,114.348679088,
